code,term,id
329923004,Aceclofenac,329923004
329925006,Aceclofenac 100mg tablets,329925006
10961811000001104,Aceclofenac 100mg tablets (A A H Pharmaceuticals Ltd),10961811000001104
27840711000001109,Aceclofenac 100mg tablets (Accord Healthcare Ltd),27840711000001109
10985211000001100,Aceclofenac 100mg tablets (Alliance Healthcare (Distribution) Ltd),10985211000001100
37689911000001101,Aceclofenac 100mg tablets (CST Pharma Ltd),37689911000001101
19700711000001109,Aceclofenac 100mg tablets (DE Pharmaceuticals),19700711000001109
17748811000001101,Aceclofenac 100mg tablets (Phoenix Healthcare Distribution Ltd),17748811000001101
33498211000001105,Aceclofenac 100mg tablets (Rivopharm (UK) Ltd),33498211000001105
15058911000001106,Aceclofenac 100mg tablets (Sigma Pharmaceuticals Plc),15058911000001106
329907004,Acemetacin 60mg capsules,329907004
411996001,Acemetacin in oral dosage form,411996001
784011000001106,Acoflam 100mg Retard tablets (Mercury Pharma Group Ltd),784011000001106
318711000001104,Acoflam 25mg gastro-resistant tablets (Mercury Pharma Group Ltd),318711000001104
541811000001109,Acoflam 75mg SR tablets (Mercury Pharma Group Ltd),541811000001109
8970311000001109,Advil 200mg tablets (Wyeth Consumer Healthcare),8970311000001109
633211000001103,Advil Extra Strength 400mg tablets (Wyeth Consumer Healthcare),633211000001103
601311000001100,Anadin Ibuprofen 200mg tablets (Pfizer Consumer Healthcare Ltd),601311000001100
13101011000001106,Anadin Joint Pain 200mg tablets (Pfizer Consumer Healthcare Ltd),13101011000001106
19510011000001106,Anadin LiquiFast 200mg effervescent tablets (Pfizer Consumer Healthcare Ltd),19510011000001106
10752411000001106,Anadin LiquiFast 400mg capsules (Pfizer Consumer Healthcare Ltd),10752411000001106
28939511000001106,Anadin Period Pain Relief 200mg capsules (Pfizer Consumer Healthcare Ltd),28939511000001106
3918911000001101,Anadin Ultra 200mg capsules (Pfizer Consumer Healthcare Ltd),3918911000001101
13829911000001108,Arcoxia 120mg tablets (DE Pharmaceuticals),13829911000001108
19865311000001104,Arcoxia 120mg tablets (Lexon (UK) Ltd),19865311000001104
16266111000001109,Arcoxia 120mg tablets (Mawdsley-Brooks & Company Ltd),16266111000001109
3407911000001102,Arcoxia 120mg tablets (Merck Sharp & Dohme Ltd),3407911000001102
