code,term
1001040C0,Allopurinol
1001040C0AA,Allopurinol (Systemic)
1001040C0AAAAAA,Allopurinol 100mg tablets
1001040C0AAABAB,Allopurinol 300mg tablets
1001040C0AAAKAK,Allopurinol 20mg/5ml oral liquid
1001040C0AAALAL,Allopurinol 300mg/5ml oral solution
1001040C0AAAMAM,Allopurinol 50mg/5ml oral liquid
1001040C0AAANAN,Allopurinol 150mg/5ml oral liquid
1001040C0AAAPAP,Allopurinol 100mg/5ml oral solution
1001040C0AAAQAQ,Allopurinol 15mg/5ml oral liquid
1001040C0AAARAR,Allopurinol 10mg/5ml oral liquid
1001040C0AAASAS,Allopurinol 200mg/5ml oral liquid
1001040C0AAATAT,Allopurinol 5mg/5ml oral liquid
1001040C0AAAWAW,Allopurinol 100mg/5ml oral suspension
1001040C0AAAXAX,Allopurinol 300mg/5ml oral suspension
1001040C0AAAYAY,Allopurinol 25mg/5ml oral suspension
1001040C0AAAZAZ,Allopurinol 2.5mg/5ml oral suspension
1001040C0BD,Caplenal
1001040C0BDAAAA,Caplenal 100mg tablets
1001040C0BDABAB,Caplenal 300mg tablets
1001040C0BG,Zyloric
1001040C0BGAAAA,Zyloric 100mg tablets
1001040C0BGABAB,Zyloric 300mg tablets
1001040C0BJ,Xanthomax
1001040C0BJACAA,Xanthomax 100 tablets
1001040C0BJADAB,Xanthomax 300 tablets
1001040C0BL,Uricto
1001040C0BLAAAA,Uricto 100mg tablets
1001040C0BLABAB,Uricto 300mg tablets
