dmd_type,dmd_id,dmd_name,bnf_code
VMP,330079002,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,283711000001104,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,29908711000001101,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,298711000001106,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,23857611000001107,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,210511000001100,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,534311000001103,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,36656111000001102,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,37057111000001109,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,38862311000001105,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,34186811000001105,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,23652811000001100,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,19569411000001108,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,37847611000001100,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,29798611000001103,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,33676211000001101,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,181411000001109,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,387811000001105,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,21950111000001103,Colchicine 500microgram tablets,1001040G0AAACAC
AMP,740711000001105,Colchicine 500microgram tablets,1001040G0AAACAC
VMP,32654411000001103,Colchicine 250micrograms/5ml oral solution,1001040G0AAAHAH
AMP,32650611000001107,Colchicine 250micrograms/5ml oral solution,1001040G0AAAHAH
VMP,35574011000001100,Colchicine 400micrograms/5ml oral suspension,1001040G0AAAIAI
AMP,35550111000001106,Colchicine 400micrograms/5ml oral suspension,1001040G0AAAIAI
