code,term
1033961000000104,Gouty tophi of toe
1033971000000106,Gouty tophi of toe 
1075001000119108,Chronic tophaceous gout of right foot
1075021000119104,Chronic tophaceous gout of left foot
141406005,O/E - auricle of ear - tophi
14763005,Tophus of ear co-occurrent and due to gout
16005991000119109,Tophus of bilateral elbows co-occurrent and due to gout
16006551000119104,Tophus of right hand co-occurrent and due to gout
16006591000119109,Tophus of left hand co-occurrent and due to gout
16006631000119109,Tophus of bilateral hands co-occurrent and due to gout
16040031000119108,Chronic tophaceous gout of bilateral elbows
16040071000119106,Chronic tophaceous gout of bilateral hands
16075931000119103,Tophus of right foot co-occurrent and due to gout
16076011000119100,Tophus of bilateral feet co-occurrent and due to gout
16076051000119104,Tophus of left elbow co-occurrent and due to gout
16076131000119106,Tophus of right elbow co-occurrent and due to gout
16076171000119109,Tophus of left foot co-occurrent and due to gout
164208001,On examination - auricle of ear - tophi
190838003,Gouty tophi of heart
190839006,Gouty tophi of other sites
190842000,Tophus of hand co-occurrent and due to gout
195026009,Gouty tophi of heart
27277001,Tophus of heart co-occurrent and due to gout
281362006,Tophus of bursa co-occurrent and due to gout
281363001,Tophus of tendon co-occurrent and due to gout
281364007,Tophus of olecranon bursa co-occurrent and due to gout
281365008,Tophus of prepatellar bursa co-occurrent and due to gout
303881000119102,Chronic tophaceous gout of ankle due to renal impairment
303901000119100,Chronic tophaceous gout of elbow due to renal impairment
303921000119109,Chronic tophaceous gout of hand due to renal impairment
303941000119103,Chronic tophaceous gout of hip due to renal impairment
303961000119104,Chronic tophaceous gout of knee due to renal impairment
304121000119108,Chronic tophaceous gout of multiple sites due to renal impairment
304281000119100,Chronic tophaceous gout of shoulder due to renal impairment
304301000119101,Chronic tophaceous gout of vertebra due to renal impairment
304321000119105,Chronic tophaceous gout due to renal impairment
304341000119104,Chronic tophaceous gout of wrist due to renal impairment
306131000119100,Chronic tophaceous gout of ankle and/or foot caused by drug
306151000119106,Chronic tophaceous gout of elbow caused by drug
306171000119102,Chronic tophaceous gout of hand caused by drug
306191000119101,Chronic tophaceous gout of hip caused by drug
306211000119100,Chronic tophaceous gout of knee caused by drug
306371000119100,Chronic tophaceous gout of multiple sites caused by drug
306531000119108,Chronic tophaceous gout of shoulder caused by drug
306551000119102,Chronic tophaceous gout of vertebra caused by drug
306571000119106,Chronic tophaceous gout caused by drug
306591000119107,Chronic tophaceous gout of wrist caused by drug
3875003,Tophus
402469004,Tophus co-occurrent and due to gout
402470003,Tophus of digit co-occurrent and due to gout
634001000000109,Gouty tophi of other sites
719680009,Tophus of toe co-occurrent and due to gout
73877009,Chronic tophaceous gout
