dmd_type,dmd_id,dmd_name,bnf_code
VMP,330062008,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,589711000001108,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,18456311000001106,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,570511000001103,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,586411000001109,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,9783711000001102,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,10376911000001101,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,18556511000001105,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,28977911000001109,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,22588311000001102,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,27989911000001101,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,35979911000001107,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,515511000001104,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,40127311000001105,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,537711000001106,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,38777311000001101,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,19199411000001101,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,17757211000001103,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,35590911000001104,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,518511000001107,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,490811000001100,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,29759711000001106,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,17334111000001104,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,554911000001103,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,719111000001106,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,21757511000001101,Allopurinol 300mg tablets,1001040C0AAABAB
AMP,507611000001105,Allopurinol 300mg tablets,1001040C0AAABAB
VMP,8273011000001102,Allopurinol 300mg/5ml oral solution,1001040C0AAALAL
AMP,8224611000001106,Allopurinol 300mg/5ml oral solution,1001040C0AAALAL
VMP,8273111000001101,Allopurinol 300mg/5ml oral suspension,1001040C0AAAXAX
AMP,8229711000001101,Allopurinol 300mg/5ml oral suspension,1001040C0AAAXAX
AMP,743911000001104,Caplenal 300mg tablets,1001040C0BDABAB
AMP,208211000001102,Zyloric 300mg tablets,1001040C0BGABAB
AMP,302711000001100,Xanthomax 300 tablets,1001040C0BJADAB
AMP,26659511000001102,Uricto 300mg tablets,1001040C0BLABAB
