dmd_type,dmd_id,dmd_name,bnf_code
VMP,441623005,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,37197011000001106,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,37080211000001106,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,37874411000001107,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,37418211000001104,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,40691011000001108,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,37758811000001101,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,37066011000001100,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,38085611000001107,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,37396811000001107,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,38900711000001104,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,37505211000001100,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,37424711000001107,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,39489411000001104,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,37245611000001101,Febuxostat 80mg tablets,1001040V0AAAAAA
AMP,17031111000001103,Adenuric 80mg tablets,1001040V0BBAAAA
